"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Hungary,47.162494,19.503304,6,7,8,13,31,65,1.31757E-05,1.46675E-05,1.61973E-05,2.52506E-05,5.80272E-05,0.000131757,0.000146675,0.000161973,0.000252506,0.000580272,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Hungary,47.162494,19.503304,170,209,250,282,533,1444,0.000218066,0.000242287,0.000264168,0.000273703,0.000475083,0.002180655,0.002422872,0.002641681,0.002737031,0.004750828,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Hungary,47.162494,19.503304,56,70,83,77,102,388,0.001381487,0.001611182,0.001607409,0.001362828,0.001725927,0.013814874,0.016111818,0.016074088,0.013628275,0.017259266,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Hungary,47.162494,19.503304,487,599,715,762,1408,3971,0.0007722,0.000910039,0.001047305,0.001084012,0.001969901,0.007721995,0.009100389,0.010473046,0.010840124,0.019699013,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Hungary,47.162494,19.503304,2345,2880,3440,3091,5272,17028,0.002968312,0.003463949,0.003935431,0.003352807,0.005454808,0.029683115,0.034639493,0.039354309,0.033528074,0.054548078,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Poland,51.919438,19.145136,23,24,27,25,33,132,0.000189787,0.000181179,0.000187976,0.000162153,0.000201258,0.001897871,0.001811788,0.00187976,0.001621532,0.00201258,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Poland,51.919438,19.145136,46,80,117,110,146,499,2.14881E-05,3.49642E-05,4.79476E-05,4.2456E-05,5.37045E-05,0.000214881,0.000349642,0.000479476,0.00042456,0.000537045,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Poland,51.919438,19.145136,8,24,42,39,52,165,3.48658E-05,9.258E-05,0.000146251,0.000125528,0.000156627,0.000348658,0.0009258,0.001462511,0.001255277,0.001566265,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Poland,51.919438,19.145136,49,123,202,191,254,819,6.28542E-05,0.00014259,0.000213448,0.00018538,0.0002264,0.000628542,0.001425901,0.002134478,0.001853804,0.002263997,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Poland,51.919438,19.145136,38,68,102,96,127,431,6.02538E-05,0.00010331,0.000149406,0.000136568,0.000177683,0.000602538,0.001033099,0.001494057,0.001365685,0.001776829,,,,
