"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Germany,51.165691,10.451526,36573,50231,61212,62824,84324,295164,0.057991073,0.076314133,0.089660995,0.089372699,0.117975819,0.579910733,0.763141327,0.896609954,0.893726992,1.17975819,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Germany,51.165691,10.451526,81335,86970,90977,93372,125327,477981,0.102954208,0.104604052,0.104079564,0.101280599,0.129672742,1.029542079,1.046040517,1.040795638,1.012805989,1.296727421,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Liechtenstein,47.166,9.555373,0,0,3,4,2,9,0,0,2.08862E-05,2.59445E-05,1.21975E-05,0,0,0.000208862,0.000259445,0.000121975,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Liechtenstein,47.166,9.555373,0,0,4,8,9,21,0,0,1.63924E-06,3.08771E-06,3.31055E-06,0,0,1.63924E-05,3.08771E-05,3.31055E-05,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Liechtenstein,47.166,9.555373,1,17,35,36,40,129,1.84133E-05,0.000290451,0.000553498,0.000530393,0.000546493,0.000184133,0.002904508,0.005534981,0.005303931,0.00546493,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Liechtenstein,47.166,9.555373,0,0,1,1,0,2,0,0,3.48217E-06,3.21866E-06,0,0,0,3.48217E-05,3.21866E-05,0,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Liechtenstein,47.166,9.555373,1,18,37,38,58,152,1.28274E-06,2.08668E-05,3.90969E-05,3.6882E-05,5.16976E-05,1.28274E-05,0.000208668,0.000390969,0.00036882,0.000516976,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Liechtenstein,47.166,9.555373,0,0,5,6,8,19,0,0,9.68319E-05,0.000106194,0.000135367,0,0,0.000968319,0.001061944,0.001353668,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Liechtenstein,47.166,9.555373,2,40,79,88,86,295,3.17125E-06,6.07705E-05,0.000115716,0.000125188,0.000120321,3.17125E-05,0.000607705,0.001157162,0.001251878,0.001203207,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Liechtenstein,47.166,9.555373,0,0,11,12,13,36,0,0,1.25842E-05,1.30164E-05,1.34508E-05,0,0,0.000125842,0.000130164,0.000134508,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Luxembourg,49.815273,6.129583,0,0,0,0,69,69,0,0,0,0,0.000420812,0,0,0,0,0.004208123,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Luxembourg,49.815273,6.129583,0,0,0,0,121,121,0,0,0,0,4.45085E-05,0,0,0,0,0.000445085,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Luxembourg,49.815273,6.129583,0,0,0,0,51,51,0,0,0,0,0.000696779,0,0,0,0,0.006967785,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Luxembourg,49.815273,6.129583,23,19,17,25,111,195,0.000100239,7.32925E-05,5.91969E-05,8.04665E-05,0.000334337,0.00100239,0.000732925,0.000591969,0.000804665,0.003343374,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Luxembourg,49.815273,6.129583,0,0,0,0,9,9,0,0,0,0,1.68466E-05,0,0,0,0,0.000168466,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Luxembourg,49.815273,6.129583,166,144,124,189,891,1514,0.000212935,0.000166935,0.000131027,0.000183439,0.000794182,0.002129346,0.001669347,0.001310274,0.001834393,0.007941815,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Luxembourg,49.815273,6.129583,0,0,0,0,149,149,0,0,0,0,0.002521206,0,0,0,0,0.025212065,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Luxembourg,49.815273,6.129583,153,132,114,173,644,1216,0.000242601,0.000200543,0.000166983,0.000246108,0.000901006,0.002426007,0.002005428,0.001669828,0.002461078,0.00901006,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Luxembourg,49.815273,6.129583,63,54,47,71,570,805,7.97457E-05,6.4949E-05,5.3769E-05,7.70137E-05,0.000589765,0.000797457,0.00064949,0.00053769,0.000770137,0.005897649,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Netherlands,52.132633,5.291266,545,578,559,610,633,2925,0.163209813,0.157614727,0.141142726,0.144742868,0.143301828,1.63209813,1.576147274,1.411427258,1.447428679,1.433018281,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Netherlands,52.132633,5.291266,522,631,676,733,821,3383,0.004307343,0.004763493,0.004706363,0.004754331,0.005007056,0.043073426,0.047634926,0.047063633,0.047543305,0.050070562,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Netherlands,52.132633,5.291266,166679,154880,140262,125118,118098,705037,0.077861034,0.067690786,0.057480616,0.04829096,0.043441066,0.778610338,0.676907858,0.574806163,0.482909602,0.434410659,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Netherlands,52.132633,5.291266,109,133,163,200,220,825,0.002007051,0.002272351,0.00257772,0.002946628,0.003005711,0.020070512,0.022723506,0.025777198,0.029466282,0.030057113,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Netherlands,52.132633,5.291266,2716,3067,3462,3555,4081,16881,0.011836924,0.011830948,0.01205527,0.011442335,0.012292171,0.118369241,0.118309478,0.1205527,0.114423352,0.122921713,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Netherlands,52.132633,5.291266,171,359,696,1110,1262,3598,0.000375508,0.000752235,0.001409164,0.002156012,0.00236227,0.003755078,0.007522346,0.01409164,0.021560118,0.023622697,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Netherlands,52.132633,5.291266,6671,8609,10580,12403,15455,53718,0.008557147,0.009980148,0.011179595,0.012038082,0.013775618,0.085571473,0.099801475,0.111795952,0.120380818,0.137756176,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Netherlands,52.132633,5.291266,2603,2885,3123,3546,4280,16437,0.064214494,0.066403706,0.060481177,0.062760862,0.072421233,0.642144937,0.664037065,0.604811769,0.62760862,0.72421233,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Netherlands,52.132633,5.291266,5917,9704,11998,13798,15753,57170,0.009382145,0.014742935,0.017574211,0.019628876,0.022039669,0.093821448,0.147429345,0.175742113,0.19628876,0.220396693,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Netherlands,52.132633,5.291266,10560,12081,12119,12522,14712,61994,0.013366895,0.014530546,0.013864386,0.013582612,0.015222142,0.133668954,0.145305456,0.138643859,0.135826121,0.152221419,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Switzerland,46.818188,8.227512,32,39,43,54,54,222,0.009582961,0.010634904,0.010857133,0.012813303,0.0122248,0.095829615,0.106349038,0.108571328,0.128133031,0.122248005,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Switzerland,46.818188,8.227512,1803,1988,2381,2393,2533,11098,0.01487766,0.015007644,0.016576703,0.0155213,0.01544808,0.148776603,0.150076439,0.165767027,0.155213,0.154480797,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Switzerland,46.818188,8.227512,2504,2780,3306,3518,3782,15890,0.001169698,0.001215008,0.001354828,0.001357819,0.001391168,0.011696976,0.012150076,0.013548282,0.01357819,0.013911676,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Switzerland,46.818188,8.227512,720,796,951,961,1013,4441,0.013257586,0.013599933,0.015039335,0.014158548,0.013839934,0.132575859,0.13599933,0.150393347,0.141585483,0.138399341,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Switzerland,46.818188,8.227512,1609,1802,2124,2260,2507,10302,0.007012375,0.006951212,0.007396128,0.007274171,0.007551206,0.070123752,0.069512122,0.073961275,0.072741709,0.075512064,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Switzerland,46.818188,8.227512,157,184,208,281,387,1217,0.000344764,0.000385546,0.000421129,0.000545801,0.000724404,0.003447645,0.003855464,0.004211295,0.005458012,0.007244044,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Switzerland,46.818188,8.227512,9117,10167,12032,12997,14455,58768,0.011694725,0.011786289,0.012713884,0.012614605,0.01288428,0.116947253,0.117862887,0.127138837,0.126146053,0.128842803,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Switzerland,46.818188,8.227512,1241,1400,1639,1849,2352,8481,0.030614747,0.032223636,0.031741482,0.032725559,0.039797836,0.306147471,0.322236357,0.317414822,0.327255595,0.397978365,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Switzerland,46.818188,8.227512,13518,15115,17839,19065,20958,86495,0.021434483,0.02296367,0.026129885,0.02712165,0.029321868,0.214344825,0.229636702,0.261298846,0.271216495,0.293218682,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Switzerland,46.818188,8.227512,0,0,0,14,18,32,0,0,0,0.001161042,0.001384621,0,0,0,0.011610424,0.013846207,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Switzerland,46.818188,8.227512,8220,9147,10847,11272,12263,51749,0.010404913,0.011001647,0.012409192,0.012226737,0.012688222,0.104049129,0.110016472,0.124091916,0.122267372,0.126882223,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Aruba,12.52111,-69.968338,754,863,955,1004,1121,4697,0.000967185,0.001000449,0.001009122,0.000974461,0.000999189,0.009671847,0.010004492,0.010091223,0.009744605,0.009991891,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Bahamas,25.03428,-77.39628,6,18,30,33,34,121,2.80279E-06,7.86696E-06,1.22943E-05,1.27368E-05,1.25065E-05,2.80279E-05,7.86696E-05,0.000122943,0.000127368,0.000125065,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Bahamas,25.03428,-77.39628,143,587,1031,1117,1196,4074,0.000183432,0.000680491,0.001089429,0.001084136,0.001066039,0.001834316,0.00680491,0.010894294,0.010841359,0.010660394,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Cayman Islands,19.513469,-80.566956,19,18,18,18,19,92,8.28062E-05,6.9435E-05,6.2679E-05,5.79359E-05,5.72289E-05,0.000828062,0.00069435,0.00062679,0.000579359,0.000572289,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Cayman Islands,19.513469,-80.566956,111,879,1730,1885,2104,6709,0.000142384,0.001018998,0.001828043,0.00182954,0.001875374,0.00142384,0.010189975,0.018280435,0.0182954,0.018753736,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Cayman Islands,19.513469,-80.566956,56,51,51,55,60,273,8.8795E-05,7.74824E-05,7.47028E-05,7.82424E-05,8.39447E-05,0.00088795,0.000774824,0.000747028,0.000782424,0.000839447,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Curaçao,12.16957,-68.990021,0,0,169,182,211,562,0,0,6.92577E-05,7.02453E-05,7.76141E-05,0,0,0.000692577,0.000702453,0.000776141,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Puerto Rico,18.220833,-66.590149,306,239,143,140,60,888,0.000392518,0.000277065,0.000151104,0.000135881,5.34802E-05,0.003925179,0.002770653,0.001511042,0.00135881,0.000534802,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Puerto Rico,18.220833,-66.590149,39,30,18,18,7,112,6.18394E-05,4.55779E-05,2.63657E-05,2.56066E-05,9.79354E-06,0.000618394,0.000455779,0.000263657,0.000256066,9.79354E-05,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Puerto Rico,18.220833,-66.590149,138,108,65,64,27,402,0.000174681,0.000129898,7.43613E-05,6.94208E-05,2.79362E-05,0.00174681,0.001298981,0.000743613,0.000694208,0.000279362,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Sint Maarten (Dutch part),18.075277,-63.060001,0,28,57,60,62,207,0,1.22375E-05,2.33591E-05,2.31578E-05,2.2806E-05,0,0.000122375,0.000233591,0.000231578,0.00022806,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Trinidad and Tobago,10.691803,-61.222503,184,197,334,346,383,1444,0.000236024,0.000228376,0.000352929,0.00033582,0.000341382,0.002360239,0.00228376,0.003529286,0.003358201,0.003413822,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Panama,8.537981,-80.782127,44,58,85,98,117,402,9.66219E-05,0.000121531,0.000172096,0.000190351,0.000219006,0.000966219,0.001215309,0.001720962,0.001903506,0.00219006,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Panama,8.537981,-80.782127,97,96,116,135,161,605,4.53118E-05,4.19571E-05,4.75378E-05,5.2105E-05,5.92221E-05,0.000453118,0.000419571,0.000475378,0.00052105,0.000592221,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Panama,8.537981,-80.782127,24,22,25,28,33,132,0.000104597,8.4865E-05,8.70542E-05,9.01225E-05,9.93976E-05,0.001045973,0.00084865,0.000870542,0.000901225,0.000993976,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Panama,8.537981,-80.782127,444,822,1368,1601,1923,6158,0.000569536,0.000952919,0.001445528,0.001553896,0.001714042,0.005695358,0.009529192,0.01445528,0.015538957,0.017140416,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Panama,8.537981,-80.782127,20,27,40,46,55,188,0.000493388,0.000621456,0.000774655,0.000814157,0.000930647,0.004933883,0.006214558,0.007746548,0.008141567,0.009306467,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Panama,8.537981,-80.782127,8,27,51,59,69,214,1.01264E-05,3.24745E-05,5.83451E-05,6.39973E-05,7.13926E-05,0.000101264,0.000324745,0.000583451,0.000639973,0.000713926,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Panama,8.537981,-80.782127,4,57,123,144,171,499,6.3425E-06,8.6598E-05,0.000180166,0.000204853,0.000239242,6.3425E-05,0.00086598,0.001801657,0.002048527,0.002392423,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Bermuda,32.321384,-64.75737,19,33,49,42,48,191,8.28062E-05,0.000127297,0.000170626,0.000135184,0.000144578,0.000828062,0.001272974,0.001706263,0.001351837,0.001445783,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Bermuda,32.321384,-64.75737,345,708,1126,1302,1782,5263,0.000442545,0.000820763,0.001189813,0.001263693,0.001588363,0.004425447,0.008207625,0.011898133,0.012636929,0.01588363,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Canada,56.130366,-106.346771,4338,4018,3945,4457,4828,21586,1.299090218,1.095667777,0.996078808,1.057572069,1.092987719,12.99090218,10.95667777,9.960788076,10.57572069,10.92987719,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Canada,56.130366,-106.346771,3724,5703,8080,8164,8845,34516,0.008177726,0.011949844,0.01635926,0.015857369,0.016556478,0.08177726,0.119498443,0.163592597,0.158573694,0.16556478,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Canada,56.130366,-106.346771,18784,20565,23755,23177,25111,111392,0.15499832,0.155247583,0.165384113,0.150328947,0.153145175,1.549983204,1.552475835,1.65384113,1.503289471,1.531451754,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Canada,56.130366,-106.346771,10356,12039,13520,14192,15377,65484,0.004837615,0.005261682,0.005540616,0.005477592,0.005656262,0.048376152,0.052616824,0.055406164,0.054775916,0.056562623,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Canada,56.130366,-106.346771,14178,13739,14305,14386,15587,72195,0.261063962,0.234735527,0.22622259,0.211950964,0.212954643,2.610639618,2.347355274,2.262225904,2.11950964,2.129546429,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Canada,56.130366,-106.346771,21280,21513,22365,23644,25618,114420,0.092742911,0.082986364,0.077878715,0.076101989,0.077162667,0.927429108,0.829863642,0.778787154,0.761019894,0.771626669,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Canada,56.130366,-106.346771,236877,351848,454340,584697,633547,2261309,0.303851205,0.407886508,0.480088591,0.56749418,0.564704058,3.03851205,4.078865076,4.800885914,5.6749418,5.647040582,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Canada,56.130366,-106.346771,9543,10381,11000,11742,12721,55387,0.235420251,0.238938259,0.213030082,0.207822347,0.215250118,2.354202509,2.389382588,2.130300818,2.078223468,2.152501181,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Canada,56.130366,-106.346771,148701,151603,165125,168212,182265,815906,0.188226393,0.182342049,0.188906405,0.182459539,0.18858508,1.88226393,1.823420495,1.889064046,1.824595392,1.885850801,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Canada,56.130366,-106.346771,8687,11281,13360,14982,16232,64542,0.013774327,0.017138813,0.019569217,0.021313221,0.022709828,0.137743268,0.171388133,0.195692168,0.213132207,0.227098275,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Greenland,71.706936,-42.604303,6,9,50,130,127,322,7.69643E-06,1.04334E-05,5.28336E-05,0.000126175,0.0001132,7.69643E-05,0.000104334,0.000528336,0.001261752,0.001131998,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Greenland,71.706936,-42.604303,35,62,126,157,153,533,5.54969E-05,9.41943E-05,0.00018456,0.000223346,0.000214059,0.000554969,0.000941943,0.0018456,0.002233464,0.002140589,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,United States of America,37.09024,-95.712891,140456,147478,159212,181502,154891,783539,1.158988718,1.113328622,1.108446028,1.177244879,0.944638181,11.58988718,11.13328622,11.08446028,11.77244879,9.446381807,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,United States of America,37.09024,-95.712891,74394,83425,95254,104522,105617,463212,0.034751791,0.036461156,0.039035937,0.040341659,0.038850066,0.347517908,0.364611558,0.390359372,0.403416594,0.388500657,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,United States of America,37.09024,-95.712891,209471,204193,205051,213777,173275,1005767,3.857055236,3.488707443,3.242724109,3.149606647,2.367339176,38.57055236,34.88707443,32.42724109,31.49606647,23.67339176,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,United States of America,37.09024,-95.712891,50714,55746,62621,71903,73947,314931,0.221022743,0.215040109,0.218056921,0.231431287,0.222731975,2.210227434,2.150401087,2.18056921,2.314312868,2.227319747,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,United States of America,37.09024,-95.712891,33415,49239,66988,134424,156410,440476,0.073377743,0.103173485,0.135627981,0.261098852,0.292775434,0.733777425,1.031734851,1.356279814,2.610988524,2.927754344,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,United States of America,37.09024,-95.712891,1403834,1596459,1843117,1982369,2061178,8886957,1.800751667,1.850725558,1.94757108,1.924044198,1.837204787,18.00751667,18.50725558,19.4757108,19.24044198,18.37204787,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,United States of America,37.09024,-95.712891,21289,24653,28863,36132,33505,144442,0.525187229,0.567435208,0.558971568,0.639502387,0.56693304,5.251872285,5.674352081,5.589715682,6.395023874,5.669330403,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,United States of America,37.09024,-95.712891,174112,195494,223435,267938,256642,1117621,0.276076389,0.297006929,0.327279039,0.381165515,0.359062072,2.760763886,2.970069291,3.272790385,3.811655145,3.590620718,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,United States of America,37.09024,-95.712891,1013266,1106433,1236000,1300575,1403193,6059467,1.282596649,1.330773539,1.414009484,1.41073357,1.451849034,12.82596649,13.30773539,14.14009484,14.1073357,14.51849034,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Australia,-25.274398,133.775136,2100,2570,3040,2890,3294,13894,0.628881848,0.700812888,0.767574037,0.685748997,0.74571283,6.288818481,7.008128884,7.675740368,6.857489969,7.457128304,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Australia,-25.274398,133.775136,12100,13328,23260,32160,38215,119063,0.026571022,0.027926973,0.047093611,0.062466071,0.071532595,0.265710215,0.279269727,0.470936115,0.624660707,0.715325953,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Australia,-25.274398,133.775136,24970,27606,31720,34420,38969,157685,0.206042806,0.208400914,0.220837048,0.223252464,0.237661357,2.060428056,2.084009137,2.208370476,2.232524641,2.376613571,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Australia,-25.274398,133.775136,58650,60240,71170,77000,88852,355912,0.02739727,0.026328079,0.0291661,0.029719177,0.032683243,0.273972704,0.263280794,0.291660996,0.297191766,0.326832427,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Australia,-25.274398,133.775136,10450,10599,11110,11030,11912,55101,0.192419128,0.18108755,0.175696119,0.162506543,0.162745602,1.924191283,1.810875504,1.756961188,1.625065434,1.627456025,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Australia,-25.274398,133.775136,84650,101373,129880,143420,177286,636609,0.36892328,0.391046191,0.452264143,0.461620171,0.533994088,3.689232801,3.910461906,4.52264143,4.616201709,5.339940885,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Australia,-25.274398,133.775136,112180,134557,183770,241130,286303,957940,0.143897585,0.15598777,0.194184708,0.234035529,0.255192537,1.438975847,1.559877697,1.941847085,2.340355289,2.551925366,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Australia,-25.274398,133.775136,0,10709,10580,10000,10555,41844,0,1.104803092,0.97199229,0.829315988,0.8119262,0,11.04803092,9.719922902,8.293159885,8.119261997,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Australia,-25.274398,133.775136,34240,43063,53550,59480,65909,256242,0.844680854,0.991176018,1.037069171,1.052740009,1.115236226,8.446808542,9.911760177,10.37069171,10.52740009,11.15236226,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Australia,-25.274398,133.775136,163700,174411,203770,235590,269812,1047283,0.207212194,0.209774603,0.233117081,0.255544449,0.279167792,2.072121945,2.097746033,2.331170814,2.55544449,2.791677921,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Australia,-25.274398,133.775136,23040,31545,51570,66400,82292,254847,0.036532806,0.047925172,0.075537763,0.094459876,0.115132893,0.365328064,0.47925172,0.755377627,0.944598757,1.151328933,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,New Zealand,-40.900557,174.885971,9860,14617,26902,38756,70412,160547,0.0126478,0.016945036,0.028426604,0.03761573,0.06276084,0.126477998,0.169450362,0.284266041,0.376157299,0.627608404,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,New Zealand,-40.900557,174.885971,11151,13911,15575,16991,21317,78945,0.048598506,0.053661661,0.054234786,0.054688247,0.064207845,0.485985056,0.53661661,0.542347862,0.546882466,0.642078449,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,New Zealand,-40.900557,174.885971,5014,5890,7012,8023,11205,37144,0.007950325,0.008948463,0.010270909,0.011413427,0.015676664,0.079503252,0.089484629,0.102709093,0.114134274,0.156766644,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,New Zealand,-40.900557,174.885971,4643,5600,6263,6826,7931,31263,0.038312245,0.042275053,0.043603481,0.044274297,0.048369017,0.383122445,0.422750531,0.436034814,0.442742975,0.48369017,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,New Zealand,-40.900557,174.885971,3841,4662,5572,6393,9742,30210,0.004861955,0.005607268,0.006374483,0.006934486,0.010079806,0.04861955,0.056072679,0.063744829,0.069344864,0.100798061,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,New Zealand,-40.900557,174.885971,3803,4644,5152,5579,7264,26442,0.093817795,0.106890403,0.099775544,0.098743048,0.122913046,0.938177946,1.06890403,0.997755438,0.987430483,1.22913046,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,New Zealand,-40.900557,174.885971,3689,4412,4796,5105,7481,25483,0.001723249,0.001928278,0.001965443,0.001970343,0.002751805,0.017232486,0.019282783,0.019654435,0.019703428,0.027518046,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,New Zealand,-40.900557,174.885971,682,806,1515,2200,3047,8250,0.001497639,0.001688861,0.003067361,0.004273176,0.005703515,0.014976394,0.01688861,0.030673612,0.042731765,0.057035148,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,New Caledonia,-20.904305,165.618042,635,676,718,551,584,3164,0.005239775,0.005103203,0.00499877,0.003573856,0.003561658,0.05239775,0.051032028,0.049987705,0.035738555,0.035616575,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,New Caledonia,-20.904305,165.618042,1079,1150,1221,938,994,5382,0.000504035,0.000502611,0.000500377,0.000362034,0.000365632,0.00504035,0.005026111,0.005003767,0.003620336,0.003656321,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,New Caledonia,-20.904305,165.618042,679,723,768,590,625,3385,0.01250264,0.012352703,0.01214533,0.008692553,0.008538952,0.1250264,0.12352703,0.121453303,0.086925531,0.085389524,,,,
