"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Brunei Darussalam","096",4.535277,114.727669,12614,12895,13176,13457,14664,66806,0.016180461168284966,0.014948774797490183,0.013922717085443598,0.013061071257281702,0.013070569837358666,0.16180461168284968,0.14948774797490183,0.13922717085443598,0.130610712572817,0.13070569837358667
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Brunei Darussalam","096",4.535277,114.727669,1445,1477,1509,1541,1678,7650,0.03564730824585147,0.03399593567886109,0.02922385394657593,0.027274249391771848,0.028393184349771543,0.35647308245851467,0.3399593567886109,0.2922385394657593,0.2727424939177185,0.28393184349771544
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Brunei Darussalam","096",4.535277,114.727669,13482,13782,14083,14384,15674,71405,0.021377400016297055,0.02093849169935109,0.020628239531139143,0.020462512823034813,0.0219291422042613,0.21377400016297055,0.20938491699351092,0.20628239531139142,0.20462512823034815,0.21929142204261298
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Singapore","702",1.352083,103.819836,50277,91090,136979,157139,159685,595170,0.023485977205816716,0.039811167881785035,0.056135213627827855,0.060649892005529935,0.058738391962538376,0.23485977205816716,0.39811167881785037,0.5613521362782785,0.6064989200552993,0.5873839196253838
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Singapore","702",1.352083,103.819836,710434,818337,971827,1114858,1132924,4748380,3.0962273072958775,3.156733711018435,3.3840661018797062,3.5883484905918417,3.4124224062336403,30.962273072958773,31.56733711018435,33.840661018797064,35.883484905918415,34.124224062336395
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Singapore","702",1.352083,103.819836,4027,8195,12820,14706,14944,54692,0.005165587214577736,0.009500210117520903,0.013546541669352376,0.014273323468052664,0.013320144275060552,0.05165587214577736,0.09500210117520903,0.13546541669352377,0.14273323468052665,0.13320144275060553
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Singapore","702",1.352083,103.819836,4921,10010,15658,17962,18253,66804,0.007802861999717981,0.015207829191010333,0.022935239265680373,0.02555253443599495,0.02553736331851356,0.0780286199971798,0.15207829191010336,0.22935239265680374,0.2555253443599495,0.25537363318513556
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Bahrain","048",25.930414,50.637772,9152,14859,23845,25851,33493,107200,0.004275188722231529,0.00649417217647869,0.009771893275287127,0.009977538091975602,0.012320036083547595,0.042751887222315293,0.0649417217647869,0.09771893275287126,0.09977538091975602,0.12320036083547597
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Bahrain","048",25.930414,50.637772,12508,24672,42281,45839,59391,184691,0.01604449090636661,0.028601486762596183,0.04467717069593509,0.04449033554005617,0.05293741224840212,0.16044490906366607,0.28601486762596184,0.44677170695935087,0.44490335540056175,0.5293741224840212
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Bahrain","048",25.930414,50.637772,353,591,960,1040,1347,4291,0.0005597257236131777,0.0008978848203683425,0.001406171266767988,0.0014794920283618053,0.0018845575187661078,0.005597257236131776,0.008978848203683424,0.01406171266767988,0.014794920283618054,0.018845575187661074
